camp_id,block_id,variable,count
CXB-214,CXB-214_A073,n_family,1250
CXB-214,CXB-214_A073,n_individuals,5948
CXB-214,CXB-214_A073,f_below_1,98
CXB-214,CXB-214_A073,m_below_1,78
CXB-214,CXB-214_A073,f_1_to_4,422
CXB-214,CXB-214_A073,m_1_to_5,422
CXB-214,CXB-214_A073,f_5_to_11,679
CXB-214,CXB-214_A073,m_5_to_11,651
CXB-214,CXB-214_A073,f_12_to_17,409
CXB-214,CXB-214_A073,m_12_to_17,413
CXB-214,CXB-214_A073,f_18_to_59,1460
CXB-214,CXB-214_A073,m_18_to_59,1116
CXB-214,CXB-214_A073,f_60_plus,91
CXB-214,CXB-214_A073,m_60_plus,109
CXB-214,CXB-214_B074,n_family,1088
CXB-214,CXB-214_B074,n_individuals,5227
CXB-214,CXB-214_B074,f_below_1,78
CXB-214,CXB-214_B074,m_below_1,87
CXB-214,CXB-214_B074,f_1_to_4,329
CXB-214,CXB-214_B074,m_1_to_5,369
CXB-214,CXB-214_B074,f_5_to_11,564
CXB-214,CXB-214_B074,m_5_to_11,623
CXB-214,CXB-214_B074,f_12_to_17,339
CXB-214,CXB-214_B074,m_12_to_17,378
CXB-214,CXB-214_B074,f_18_to_59,1265
CXB-214,CXB-214_B074,m_18_to_59,1009
CXB-214,CXB-214_B074,f_60_plus,86
CXB-214,CXB-214_B074,m_60_plus,100
CXB-214,CXB-214_C075,n_family,1075
CXB-214,CXB-214_C075,n_individuals,4942
CXB-214,CXB-214_C075,f_below_1,76
CXB-214,CXB-214_C075,m_below_1,71
CXB-214,CXB-214_C075,f_1_to_4,338
CXB-214,CXB-214_C075,m_1_to_5,377
CXB-214,CXB-214_C075,f_5_to_11,553
CXB-214,CXB-214_C075,m_5_to_11,539
CXB-214,CXB-214_C075,f_12_to_17,305
CXB-214,CXB-214_C075,m_12_to_17,334
CXB-214,CXB-214_C075,f_18_to_59,1209
CXB-214,CXB-214_C075,m_18_to_59,966
CXB-214,CXB-214_C075,f_60_plus,81
CXB-214,CXB-214_C075,m_60_plus,93
CXB-214,CXB-214_D076,n_family,844
CXB-214,CXB-214_D076,n_individuals,4004
CXB-214,CXB-214_D076,f_below_1,48
CXB-214,CXB-214_D076,m_below_1,72
CXB-214,CXB-214_D076,f_1_to_4,253
CXB-214,CXB-214_D076,m_1_to_5,264
CXB-214,CXB-214_D076,f_5_to_11,416
CXB-214,CXB-214_D076,m_5_to_11,460
CXB-214,CXB-214_D076,f_12_to_17,263
CXB-214,CXB-214_D076,m_12_to_17,280
CXB-214,CXB-214_D076,f_18_to_59,995
CXB-214,CXB-214_D076,m_18_to_59,808
CXB-214,CXB-214_D076,f_60_plus,55
CXB-214,CXB-214_D076,m_60_plus,90
CXB-214,CXB-214_E077,n_family,1109
CXB-214,CXB-214_E077,n_individuals,5143
CXB-214,CXB-214_E077,f_below_1,71
CXB-214,CXB-214_E077,m_below_1,76
CXB-214,CXB-214_E077,f_1_to_4,342
CXB-214,CXB-214_E077,m_1_to_5,336
CXB-214,CXB-214_E077,f_5_to_11,558
CXB-214,CXB-214_E077,m_5_to_11,606
CXB-214,CXB-214_E077,f_12_to_17,296
CXB-214,CXB-214_E077,m_12_to_17,358
CXB-214,CXB-214_E077,f_18_to_59,1288
CXB-214,CXB-214_E077,m_18_to_59,1037
CXB-214,CXB-214_E077,f_60_plus,76
CXB-214,CXB-214_E077,m_60_plus,99
CXB-214,CXB-214_F078,n_family,982
CXB-214,CXB-214_F078,n_individuals,4582
CXB-214,CXB-214_F078,f_below_1,72
CXB-214,CXB-214_F078,m_below_1,64
CXB-214,CXB-214_F078,f_1_to_4,288
CXB-214,CXB-214_F078,m_1_to_5,278
CXB-214,CXB-214_F078,f_5_to_11,429
CXB-214,CXB-214_F078,m_5_to_11,503
CXB-214,CXB-214_F078,f_12_to_17,312
CXB-214,CXB-214_F078,m_12_to_17,298
CXB-214,CXB-214_F078,f_18_to_59,1169
CXB-214,CXB-214_F078,m_18_to_59,990
CXB-214,CXB-214_F078,f_60_plus,81
CXB-214,CXB-214_F078,m_60_plus,98
CXB-217,CXB-217_A079,n_family,1136
CXB-217,CXB-217_A079,n_individuals,5638
CXB-217,CXB-217_A079,f_below_1,80
CXB-217,CXB-217_A079,m_below_1,81
CXB-217,CXB-217_A079,f_1_to_4,332
CXB-217,CXB-217_A079,m_1_to_5,321
CXB-217,CXB-217_A079,f_5_to_11,671
CXB-217,CXB-217_A079,m_5_to_11,662
CXB-217,CXB-217_A079,f_12_to_17,368
CXB-217,CXB-217_A079,m_12_to_17,440
CXB-217,CXB-217_A079,f_18_to_59,1326
CXB-217,CXB-217_A079,m_18_to_59,1152
CXB-217,CXB-217_A079,f_60_plus,80
CXB-217,CXB-217_A079,m_60_plus,125
CXB-217,CXB-217_B080,n_family,963
CXB-217,CXB-217_B080,n_individuals,4557
CXB-217,CXB-217_B080,f_below_1,64
CXB-217,CXB-217_B080,m_below_1,63
CXB-217,CXB-217_B080,f_1_to_4,307
CXB-217,CXB-217_B080,m_1_to_5,253
CXB-217,CXB-217_B080,f_5_to_11,528
CXB-217,CXB-217_B080,m_5_to_11,555
CXB-217,CXB-217_B080,f_12_to_17,304
CXB-217,CXB-217_B080,m_12_to_17,323
CXB-217,CXB-217_B080,f_18_to_59,1095
CXB-217,CXB-217_B080,m_18_to_59,914
CXB-217,CXB-217_B080,f_60_plus,60
CXB-217,CXB-217_B080,m_60_plus,91
CXB-217,CXB-217_C081,n_family,1280
CXB-217,CXB-217_C081,n_individuals,6031
CXB-217,CXB-217_C081,f_below_1,79
CXB-217,CXB-217_C081,m_below_1,74
CXB-217,CXB-217_C081,f_1_to_4,334
CXB-217,CXB-217_C081,m_1_to_5,382
CXB-217,CXB-217_C081,f_5_to_11,678
CXB-217,CXB-217_C081,m_5_to_11,647
CXB-217,CXB-217_C081,f_12_to_17,377
CXB-217,CXB-217_C081,m_12_to_17,444
CXB-217,CXB-217_C081,f_18_to_59,1503
CXB-217,CXB-217_C081,m_18_to_59,1279
CXB-217,CXB-217_C081,f_60_plus,105
CXB-217,CXB-217_C081,m_60_plus,129
CXB-217,CXB-217_D082,n_family,1039
CXB-217,CXB-217_D082,n_individuals,4993
CXB-217,CXB-217_D082,f_below_1,62
CXB-217,CXB-217_D082,m_below_1,71
CXB-217,CXB-217_D082,f_1_to_4,275
CXB-217,CXB-217_D082,m_1_to_5,304
CXB-217,CXB-217_D082,f_5_to_11,584
CXB-217,CXB-217_D082,m_5_to_11,583
CXB-217,CXB-217_D082,f_12_to_17,318
CXB-217,CXB-217_D082,m_12_to_17,356
CXB-217,CXB-217_D082,f_18_to_59,1219
CXB-217,CXB-217_D082,m_18_to_59,1029
CXB-217,CXB-217_D082,f_60_plus,92
CXB-217,CXB-217_D082,m_60_plus,100
CXB-217,CXB-217_E083,n_family,840
CXB-217,CXB-217_E083,n_individuals,4091
CXB-217,CXB-217_E083,f_below_1,48
CXB-217,CXB-217_E083,m_below_1,46
CXB-217,CXB-217_E083,f_1_to_4,224
CXB-217,CXB-217_E083,m_1_to_5,271
CXB-217,CXB-217_E083,f_5_to_11,476
CXB-217,CXB-217_E083,m_5_to_11,476
CXB-217,CXB-217_E083,f_12_to_17,266
CXB-217,CXB-217_E083,m_12_to_17,304
CXB-217,CXB-217_E083,f_18_to_59,997
CXB-217,CXB-217_E083,m_18_to_59,842
CXB-217,CXB-217_E083,f_60_plus,53
CXB-217,CXB-217_E083,m_60_plus,88
CXB-217,CXB-217_F084,n_family,880
CXB-217,CXB-217_F084,n_individuals,4307
CXB-217,CXB-217_F084,f_below_1,52
CXB-217,CXB-217_F084,m_below_1,45
CXB-217,CXB-217_F084,f_1_to_4,268
CXB-217,CXB-217_F084,m_1_to_5,245
CXB-217,CXB-217_F084,f_5_to_11,507
CXB-217,CXB-217_F084,m_5_to_11,532
CXB-217,CXB-217_F084,f_12_to_17,295
CXB-217,CXB-217_F084,m_12_to_17,300
CXB-217,CXB-217_F084,f_18_to_59,1047
CXB-217,CXB-217_F084,m_18_to_59,840
CXB-217,CXB-217_F084,f_60_plus,81
CXB-217,CXB-217_F084,m_60_plus,95
CXB-218,CXB-218_A085,n_family,2415
CXB-218,CXB-218_A085,n_individuals,11966
CXB-218,CXB-218_A085,f_below_1,133
CXB-218,CXB-218_A085,m_below_1,126
CXB-218,CXB-218_A085,f_1_to_4,724
CXB-218,CXB-218_A085,m_1_to_5,793
CXB-218,CXB-218_A085,f_5_to_11,1210
CXB-218,CXB-218_A085,m_5_to_11,1347
CXB-218,CXB-218_A085,f_12_to_17,871
CXB-218,CXB-218_A085,m_12_to_17,930
CXB-218,CXB-218_A085,f_18_to_59,2953
CXB-218,CXB-218_A085,m_18_to_59,2405
CXB-218,CXB-218_A085,f_60_plus,224
CXB-218,CXB-218_A085,m_60_plus,250
CXB-218,CXB-218_B086,n_family,644
CXB-218,CXB-218_B086,n_individuals,3082
CXB-218,CXB-218_B086,f_below_1,45
CXB-218,CXB-218_B086,m_below_1,42
CXB-218,CXB-218_B086,f_1_to_4,231
CXB-218,CXB-218_B086,m_1_to_5,194
CXB-218,CXB-218_B086,f_5_to_11,323
CXB-218,CXB-218_B086,m_5_to_11,363
CXB-218,CXB-218_B086,f_12_to_17,201
CXB-218,CXB-218_B086,m_12_to_17,218
CXB-218,CXB-218_B086,f_18_to_59,720
CXB-218,CXB-218_B086,m_18_to_59,606
CXB-218,CXB-218_B086,f_60_plus,69
CXB-218,CXB-218_B086,m_60_plus,70
CXB-218,CXB-218_C087,n_family,1128
CXB-218,CXB-218_C087,n_individuals,5439
CXB-218,CXB-218_C087,f_below_1,69
CXB-218,CXB-218_C087,m_below_1,71
CXB-218,CXB-218_C087,f_1_to_4,358
CXB-218,CXB-218_C087,m_1_to_5,377
CXB-218,CXB-218_C087,f_5_to_11,583
CXB-218,CXB-218_C087,m_5_to_11,597
CXB-218,CXB-218_C087,f_12_to_17,389
CXB-218,CXB-218_C087,m_12_to_17,386
CXB-218,CXB-218_C087,f_18_to_59,1329
CXB-218,CXB-218_C087,m_18_to_59,1082
CXB-218,CXB-218_C087,f_60_plus,96
CXB-218,CXB-218_C087,m_60_plus,102
CXB-218,CXB-218_D088,n_family,924
CXB-218,CXB-218_D088,n_individuals,4328
CXB-218,CXB-218_D088,f_below_1,44
CXB-218,CXB-218_D088,m_below_1,60
CXB-218,CXB-218_D088,f_1_to_4,316
CXB-218,CXB-218_D088,m_1_to_5,323
CXB-218,CXB-218_D088,f_5_to_11,473
CXB-218,CXB-218_D088,m_5_to_11,474
CXB-218,CXB-218_D088,f_12_to_17,282
CXB-218,CXB-218_D088,m_12_to_17,302
CXB-218,CXB-218_D088,f_18_to_59,1063
CXB-218,CXB-218_D088,m_18_to_59,823
CXB-218,CXB-218_D088,f_60_plus,70
CXB-218,CXB-218_D088,m_60_plus,98
CXB-220,CXB-220_A089,n_family,1943
CXB-220,CXB-220_A089,n_individuals,9233
CXB-220,CXB-220_A089,f_below_1,95
CXB-220,CXB-220_A089,m_below_1,105
CXB-220,CXB-220_A089,f_1_to_4,567
CXB-220,CXB-220_A089,m_1_to_5,593
CXB-220,CXB-220_A089,f_5_to_11,1046
CXB-220,CXB-220_A089,m_5_to_11,1073
CXB-220,CXB-220_A089,f_12_to_17,547
CXB-220,CXB-220_A089,m_12_to_17,704
CXB-220,CXB-220_A089,f_18_to_59,2290
CXB-220,CXB-220_A089,m_18_to_59,1846
CXB-220,CXB-220_A089,f_60_plus,165
CXB-220,CXB-220_A089,m_60_plus,202
CXB-220,CXB-220_B090,n_family,1266
CXB-220,CXB-220_B090,n_individuals,6025
CXB-220,CXB-220_B090,f_below_1,69
CXB-220,CXB-220_B090,m_below_1,80
CXB-220,CXB-220_B090,f_1_to_4,334
CXB-220,CXB-220_B090,m_1_to_5,386
CXB-220,CXB-220_B090,f_5_to_11,680
CXB-220,CXB-220_B090,m_5_to_11,724
CXB-220,CXB-220_B090,f_12_to_17,399
CXB-220,CXB-220_B090,m_12_to_17,416
CXB-220,CXB-220_B090,f_18_to_59,1481
CXB-220,CXB-220_B090,m_18_to_59,1226
CXB-220,CXB-220_B090,f_60_plus,103
CXB-220,CXB-220_B090,m_60_plus,127
CXB-220,CXB-220_C091,n_family,1413
CXB-220,CXB-220_C091,n_individuals,6247
CXB-220,CXB-220_C091,f_below_1,77
CXB-220,CXB-220_C091,m_below_1,100
CXB-220,CXB-220_C091,f_1_to_4,379
CXB-220,CXB-220_C091,m_1_to_5,399
CXB-220,CXB-220_C091,f_5_to_11,734
CXB-220,CXB-220_C091,m_5_to_11,697
CXB-220,CXB-220_C091,f_12_to_17,418
CXB-220,CXB-220_C091,m_12_to_17,429
CXB-220,CXB-220_C091,f_18_to_59,1555
CXB-220,CXB-220_C091,m_18_to_59,1211
CXB-220,CXB-220_C091,f_60_plus,117
CXB-220,CXB-220_C091,m_60_plus,131
CXB-220,CXB-220_D092,n_family,1145
CXB-220,CXB-220_D092,n_individuals,5745
CXB-220,CXB-220_D092,f_below_1,53
CXB-220,CXB-220_D092,m_below_1,82
CXB-220,CXB-220_D092,f_1_to_4,329
CXB-220,CXB-220_D092,m_1_to_5,388
CXB-220,CXB-220_D092,f_5_to_11,673
CXB-220,CXB-220_D092,m_5_to_11,713
CXB-220,CXB-220_D092,f_12_to_17,391
CXB-220,CXB-220_D092,m_12_to_17,427
CXB-220,CXB-220_D092,f_18_to_59,1351
CXB-220,CXB-220_D092,m_18_to_59,1120
CXB-220,CXB-220_D092,f_60_plus,93
CXB-220,CXB-220_D092,m_60_plus,125
CXB-220,CXB-220_E093,n_family,889
CXB-220,CXB-220_E093,n_individuals,4129
CXB-220,CXB-220_E093,f_below_1,66
CXB-220,CXB-220_E093,m_below_1,61
CXB-220,CXB-220_E093,f_1_to_4,234
CXB-220,CXB-220_E093,m_1_to_5,270
CXB-220,CXB-220_E093,f_5_to_11,503
CXB-220,CXB-220_E093,m_5_to_11,513
CXB-220,CXB-220_E093,f_12_to_17,274
CXB-220,CXB-220_E093,m_12_to_17,288
CXB-220,CXB-220_E093,f_18_to_59,974
CXB-220,CXB-220_E093,m_18_to_59,791
CXB-220,CXB-220_E093,f_60_plus,68
CXB-220,CXB-220_E093,m_60_plus,87
CXB-220,CXB-220_F094,n_family,1125
CXB-220,CXB-220_F094,n_individuals,5460
CXB-220,CXB-220_F094,f_below_1,71
CXB-220,CXB-220_F094,m_below_1,69
CXB-220,CXB-220_F094,f_1_to_4,356
CXB-220,CXB-220_F094,m_1_to_5,372
CXB-220,CXB-220_F094,f_5_to_11,611
CXB-220,CXB-220_F094,m_5_to_11,613
CXB-220,CXB-220_F094,f_12_to_17,349
CXB-220,CXB-220_F094,m_12_to_17,403
CXB-220,CXB-220_F094,f_18_to_59,1284
CXB-220,CXB-220_F094,m_18_to_59,1094
CXB-220,CXB-220_F094,f_60_plus,104
CXB-220,CXB-220_F094,m_60_plus,134
CXB-220,CXB-220_G095,n_family,1033
CXB-220,CXB-220_G095,n_individuals,4684
CXB-220,CXB-220_G095,f_below_1,66
CXB-220,CXB-220_G095,m_below_1,76
CXB-220,CXB-220_G095,f_1_to_4,298
CXB-220,CXB-220_G095,m_1_to_5,318
CXB-220,CXB-220_G095,f_5_to_11,520
CXB-220,CXB-220_G095,m_5_to_11,555
CXB-220,CXB-220_G095,f_12_to_17,287
CXB-220,CXB-220_G095,m_12_to_17,319
CXB-220,CXB-220_G095,f_18_to_59,1161
CXB-220,CXB-220_G095,m_18_to_59,943
CXB-220,CXB-220_G095,f_60_plus,62
CXB-220,CXB-220_G095,m_60_plus,79
CXB-222,CXB-222_A096,n_family,1075
CXB-222,CXB-222_A096,n_individuals,5288
CXB-222,CXB-222_A096,f_below_1,69
CXB-222,CXB-222_A096,m_below_1,56
CXB-222,CXB-222_A096,f_1_to_4,365
CXB-222,CXB-222_A096,m_1_to_5,370
CXB-222,CXB-222_A096,f_5_to_11,581
CXB-222,CXB-222_A096,m_5_to_11,590
CXB-222,CXB-222_A096,f_12_to_17,341
CXB-222,CXB-222_A096,m_12_to_17,368
CXB-222,CXB-222_A096,f_18_to_59,1228
CXB-222,CXB-222_A096,m_18_to_59,1057
CXB-222,CXB-222_A096,f_60_plus,116
CXB-222,CXB-222_A096,m_60_plus,147
CXB-222,CXB-222_B097,n_family,1291
CXB-222,CXB-222_B097,n_individuals,6334
CXB-222,CXB-222_B097,f_below_1,81
CXB-222,CXB-222_B097,m_below_1,72
CXB-222,CXB-222_B097,f_1_to_4,450
CXB-222,CXB-222_B097,m_1_to_5,457
CXB-222,CXB-222_B097,f_5_to_11,680
CXB-222,CXB-222_B097,m_5_to_11,725
CXB-222,CXB-222_B097,f_12_to_17,436
CXB-222,CXB-222_B097,m_12_to_17,442
CXB-222,CXB-222_B097,f_18_to_59,1487
CXB-222,CXB-222_B097,m_18_to_59,1226
CXB-222,CXB-222_B097,f_60_plus,122
CXB-222,CXB-222_B097,m_60_plus,156
CXB-222,CXB-222_C098,n_family,781
CXB-222,CXB-222_C098,n_individuals,3760
CXB-222,CXB-222_C098,f_below_1,50
CXB-222,CXB-222_C098,m_below_1,54
CXB-222,CXB-222_C098,f_1_to_4,242
CXB-222,CXB-222_C098,m_1_to_5,274
CXB-222,CXB-222_C098,f_5_to_11,365
CXB-222,CXB-222_C098,m_5_to_11,439
CXB-222,CXB-222_C098,f_12_to_17,273
CXB-222,CXB-222_C098,m_12_to_17,273
CXB-222,CXB-222_C098,f_18_to_59,900
CXB-222,CXB-222_C098,m_18_to_59,731
CXB-222,CXB-222_C098,f_60_plus,83
CXB-222,CXB-222_C098,m_60_plus,76
CXB-222,CXB-222_D099,n_family,1296
CXB-222,CXB-222_D099,n_individuals,6254
CXB-222,CXB-222_D099,f_below_1,90
CXB-222,CXB-222_D099,m_below_1,95
CXB-222,CXB-222_D099,f_1_to_4,417
CXB-222,CXB-222_D099,m_1_to_5,431
CXB-222,CXB-222_D099,f_5_to_11,675
CXB-222,CXB-222_D099,m_5_to_11,720
CXB-222,CXB-222_D099,f_12_to_17,409
CXB-222,CXB-222_D099,m_12_to_17,456
CXB-222,CXB-222_D099,f_18_to_59,1482
CXB-222,CXB-222_D099,m_18_to_59,1202
CXB-222,CXB-222_D099,f_60_plus,123
CXB-222,CXB-222_D099,m_60_plus,154
CXB-222,CXB-222_E100,n_family,1129
CXB-222,CXB-222_E100,n_individuals,5416
CXB-222,CXB-222_E100,f_below_1,69
CXB-222,CXB-222_E100,m_below_1,66
CXB-222,CXB-222_E100,f_1_to_4,391
CXB-222,CXB-222_E100,m_1_to_5,407
CXB-222,CXB-222_E100,f_5_to_11,613
CXB-222,CXB-222_E100,m_5_to_11,638
CXB-222,CXB-222_E100,f_12_to_17,363
CXB-222,CXB-222_E100,m_12_to_17,418
CXB-222,CXB-222_E100,f_18_to_59,1289
CXB-222,CXB-222_E100,m_18_to_59,973
CXB-222,CXB-222_E100,f_60_plus,83
CXB-222,CXB-222_E100,m_60_plus,106
CXB-223,CXB-223_A101,n_family,941
CXB-223,CXB-223_A101,n_individuals,4441
CXB-223,CXB-223_A101,f_below_1,68
CXB-223,CXB-223_A101,m_below_1,73
CXB-223,CXB-223_A101,f_1_to_4,249
CXB-223,CXB-223_A101,m_1_to_5,274
CXB-223,CXB-223_A101,f_5_to_11,481
CXB-223,CXB-223_A101,m_5_to_11,505
CXB-223,CXB-223_A101,f_12_to_17,296
CXB-223,CXB-223_A101,m_12_to_17,302
CXB-223,CXB-223_A101,f_18_to_59,1089
CXB-223,CXB-223_A101,m_18_to_59,912
CXB-223,CXB-223_A101,f_60_plus,95
CXB-223,CXB-223_A101,m_60_plus,97
CXB-223,CXB-223_B102,n_family,1367
CXB-223,CXB-223_B102,n_individuals,6429
CXB-223,CXB-223_B102,f_below_1,88
CXB-223,CXB-223_B102,m_below_1,93
CXB-223,CXB-223_B102,f_1_to_4,379
CXB-223,CXB-223_B102,m_1_to_5,418
CXB-223,CXB-223_B102,f_5_to_11,736
CXB-223,CXB-223_B102,m_5_to_11,758
CXB-223,CXB-223_B102,f_12_to_17,431
CXB-223,CXB-223_B102,m_12_to_17,421
CXB-223,CXB-223_B102,f_18_to_59,1529
CXB-223,CXB-223_B102,m_18_to_59,1292
CXB-223,CXB-223_B102,f_60_plus,133
CXB-223,CXB-223_B102,m_60_plus,151
CXB-223,CXB-223_C103,n_family,1030
CXB-223,CXB-223_C103,n_individuals,4832
CXB-223,CXB-223_C103,f_below_1,74
CXB-223,CXB-223_C103,m_below_1,70
CXB-223,CXB-223_C103,f_1_to_4,291
CXB-223,CXB-223_C103,m_1_to_5,300
CXB-223,CXB-223_C103,f_5_to_11,545
CXB-223,CXB-223_C103,m_5_to_11,599
CXB-223,CXB-223_C103,f_12_to_17,290
CXB-223,CXB-223_C103,m_12_to_17,351
CXB-223,CXB-223_C103,f_18_to_59,1163
CXB-223,CXB-223_C103,m_18_to_59,966
CXB-223,CXB-223_C103,f_60_plus,86
CXB-223,CXB-223_C103,m_60_plus,97
CXB-223,CXB-223_D104,n_family,1515
CXB-223,CXB-223_D104,n_individuals,7081
CXB-223,CXB-223_D104,f_below_1,114
CXB-223,CXB-223_D104,m_below_1,109
CXB-223,CXB-223_D104,f_1_to_4,434
CXB-223,CXB-223_D104,m_1_to_5,456
CXB-223,CXB-223_D104,f_5_to_11,793
CXB-223,CXB-223_D104,m_5_to_11,779
CXB-223,CXB-223_D104,f_12_to_17,436
CXB-223,CXB-223_D104,m_12_to_17,493
CXB-223,CXB-223_D104,f_18_to_59,1748
CXB-223,CXB-223_D104,m_18_to_59,1425
CXB-223,CXB-223_D104,f_60_plus,128
CXB-223,CXB-223_D104,m_60_plus,166
CXB-223,CXB-223_E105,n_family,1229
CXB-223,CXB-223_E105,n_individuals,5885
CXB-223,CXB-223_E105,f_below_1,81
CXB-223,CXB-223_E105,m_below_1,80
CXB-223,CXB-223_E105,f_1_to_4,353
CXB-223,CXB-223_E105,m_1_to_5,347
CXB-223,CXB-223_E105,f_5_to_11,656
CXB-223,CXB-223_E105,m_5_to_11,702
CXB-223,CXB-223_E105,f_12_to_17,388
